Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Will_Grow,SMA_5,SMA_10,SMA_20,Return_1D,Volatility_10,High_Low_Ratio,Open_Close_Ratio,Volume_SMA_10,Volume_Ratio,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,RSI_14
2015-04-12,ADANIPORTS,EQ,258.85,255.0,257.9,254.55,255.8,255.55,255.73,3911817.0,100000000000000.0,61978.0,2411128.0,0.6164,1,306.94,308.52,312.2625,-0.11711867334600101,0.1263044869473258,1.0131604792771556,0.9978477792995499,3904295.9,1.0019263652634525,289.45,2575040.0,339.35,2104869.0,339.15,4458398.0,39.79843139577838
2015-05-01,ADANIPORTS,EQ,319.35,320.45,327.5,319.35,323.75,323.8,324.37,2099786.0,68100000000000.0,34920.0,773016.0,0.3681,0,309.46,311.78000000000003,312.65,0.26707102328311483,0.14727159833578704,1.0255205886957883,0.9896541074737492,3793572.0,0.5535115716796729,255.55,3911817.0,289.45,2575040.0,339.35,2104869.0,49.914946910787414
2015-05-02,ADANIPORTS,EQ,321.25,322.0,322.7,308.45,310.0,312.2,316.68,2167857.0,68700000000000.0,35854.0,829867.0,0.3828,1,304.07000000000005,317.115,311.53249999999997,-0.035824583075972916,0.14164998521065505,1.0461987356135516,1.031390134529148,3467612.0,0.6251728855477487,323.8,2099786.0,255.55,3911817.0,289.45,2575040.0,48.42545925068391
2015-05-03,ADANIPORTS,EQ,332.0,332.8,335.4,327.2,332.55,333.05,331.59,1770268.0,58700000000000.0,35081.0,643786.0,0.3637,1,302.81,318.29499999999996,313.40749999999997,0.06678411274823848,0.12176788008844235,1.0250611246943766,0.999249361957664,3365399.3,0.5260201961770183,312.2,2167857.0,323.8,2099786.0,255.55,3911817.0,51.24180928794396
2015-05-05,ADANIPORTS,EQ,347.2,349.6,351.7,337.95,341.5,342.7,345.03,4219216.0,146000000000000.0,69978.0,1801098.0,0.4269,0,313.46,319.365,317.47249999999997,0.02897462843416898,0.12167995541611275,1.040686492084628,1.0201342281879195,3602667.4,1.171136697214958,333.05,1770268.0,312.2,2167857.0,323.8,2099786.0,52.533748660307225
2015-05-06,ADANIPORTS,EQ,311.2,311.0,315.65,308.7,311.9,311.3,312.72,2533852.0,79200000000000.0,35295.0,941089.0,0.3714,1,324.61,315.775,316.6475,-0.09162532827545955,0.12484889520644973,1.0225137674117266,0.9990362993896562,3218491.6,0.7872793578209121,342.7,4219216.0,333.05,1770268.0,312.2,2167857.0,48.070414177282856
2015-05-08,ADANIPORTS,EQ,339.15,342.0,344.0,337.55,339.2,339.85,341.09,2486133.0,84800000000000.0,31849.0,1450307.0,0.5834,0,327.82,318.64,316.8125,0.0917121747510441,0.12282388475095958,1.019108280254777,1.0063263204354862,2832723.6,0.8776475756406308,311.3,2533852.0,342.7,4219216.0,333.05,1770268.0,52.05874851001471
2015-05-10,ADANIPORTS,EQ,305.05,310.0,319.65,309.05,318.2,317.85,314.76,5465126.0,172000000000000.0,85585.0,3587693.0,0.6565,0,328.95,316.51,317.84250000000003,-0.06473444166544062,0.1221321270104123,1.0342986571752142,0.9753028157936132,2933396.4,1.8630710803354091,339.85,2486133.0,311.3,2533852.0,342.7,4219216.0,48.93958438821052
2015-05-11,ADANIPORTS,EQ,289.45,289.2,292.95,283.0,283.8,284.1,288.35,2305175.0,66500000000000.0,43778.0,1066325.0,0.4626,1,319.16,310.985,316.0075,-0.1061821613968853,0.12664675101196557,1.0351590106007067,1.0179514255543822,2953427.0,0.7805085414333924,317.85,5465126.0,339.85,2486133.0,311.3,2533852.0,44.53152117669094
2015-06-01,ADANIPORTS,EQ,323.8,321.65,331.45,315.6,321.7,321.85,323.73,3672197.0,119000000000000.0,44136.0,978986.0,0.2666,0,314.99,314.225,315.565,0.13287574797606472,0.124095917993896,1.0502217997465144,0.9993785925120396,3063142.7,1.1988331461018775,284.1,2305175.0,317.85,5465126.0,339.85,2486133.0,49.96061517366027
2015-06-02,ADANIPORTS,EQ,312.2,311.1,313.95,298.6,299.1,300.2,305.84,3265593.0,99900000000000.0,50322.0,1658372.0,0.5078,1,312.77000000000004,318.69,313.605,-0.06726736057169502,0.11899745955135792,1.0514065639651706,1.0363091272485012,2998520.3,1.0890681647211127,321.85,3672197.0,284.1,2305175.0,317.85,5465126.0,47.112590683229584
2015-06-04,ADANIPORTS,EQ,310.95,313.75,323.85,311.45,322.25,321.25,317.72,2039045.0,64800000000000.0,33035.0,1056801.0,0.5183,1,309.05,318.43500000000006,315.1075,0.07011992005329781,0.08556386160840712,1.0398137742815863,0.9766536964980544,2992446.2,0.6813973798426184,300.2,3265593.0,321.85,3672197.0,284.1,2305175.0,50.091578061576875
2015-06-05,ADANIPORTS,EQ,342.7,340.35,344.25,329.05,330.5,331.2,334.58,2247751.0,75200000000000.0,41180.0,759137.0,0.3377,0,311.71999999999997,320.335,318.725,0.03097276264591442,0.08484531064402727,1.0461935876006685,1.027626811594203,3000435.6,0.7491415579791147,321.25,2039045.0,300.2,3265593.0,321.85,3672197.0,51.482710768094485
2015-06-07,ADANIPORTS,EQ,320.8,316.95,321.1,316.25,320.5,320.1,319.08,2853145.0,91000000000000.0,32435.0,1773993.0,0.6218,1,318.92,319.0400000000001,318.6675,-0.03351449275362306,0.08318903270972253,1.0153359683794467,0.9901593252108715,3108723.3,0.9177867325792554,331.2,2247751.0,321.25,2039045.0,300.2,3265593.0,49.814558871884664
2015-06-08,ADANIPORTS,EQ,339.85,341.0,348.4,335.3,347.0,346.75,342.56,2426994.0,83100000000000.0,27178.0,1337571.0,0.5511,0,323.9,319.445,319.40500000000003,0.08325523273976865,0.08703454588016205,1.0390694900089472,0.9834174477289113,2929501.1,0.8284666628048032,320.1,2853145.0,331.2,2247751.0,321.25,2039045.0,53.694009948521824
2015-06-10,ADANIPORTS,EQ,317.85,319.85,320.95,313.0,315.75,315.8,316.79,3585046.0,114000000000000.0,55957.0,2005276.0,0.5593,0,327.02,319.895,317.83500000000004,-0.08925739005046862,0.08674651992250133,1.0253993610223642,1.0128245725142495,3034620.5,1.181381988291452,346.75,2426994.0,320.1,2853145.0,331.2,2247751.0,48.96046812809768
