Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Will_Grow
2015-03-12,ADANIPORTS,EQ,261.4,259.95,262.95,256.85,256.85,258.85,259.78,5427457.0,141000000000000.0,38574.0,3577157.0,0.6591,1
2015-04-02,ADANIPORTS,EQ,327.8,329.45,333.0,319.25,321.4,321.25,326.59,2792395.0,91200000000000.0,34847.0,1031201.0,0.3693,1
2015-04-03,ADANIPORTS,EQ,336.55,339.9,343.3,330.1,331.0,332.0,337.57,1846535.0,62300000000000.0,39442.0,517546.0,0.2803,1
2015-04-05,ADANIPORTS,EQ,317.55,325.55,353.0,321.05,349.0,347.2,336.92,6375610.0,215000000000000.0,99806.0,2608812.0,0.4092,0
2015-04-06,ADANIPORTS,EQ,297.25,301.0,316.35,301.0,310.3,311.2,310.06,6343813.0,197000000000000.0,80177.0,2101953.0,0.3313,1
2015-04-08,ADANIPORTS,EQ,330.7,332.25,340.3,329.6,340.25,339.15,336.3,4458398.0,150000000000000.0,61932.0,2561641.0,0.5746,1
2015-04-09,ADANIPORTS,EQ,339.4,338.0,342.65,330.0,339.4,339.35,334.92,2104869.0,70500000000000.0,36092.0,898125.0,0.4267,0
2015-04-11,ADANIPORTS,EQ,291.2,293.45,295.2,287.55,289.2,289.45,290.54,2575040.0,74800000000000.0,55093.0,1386363.0,0.5384,0
2015-04-12,ADANIPORTS,EQ,258.85,255.0,257.9,254.55,255.8,255.55,255.73,3911817.0,100000000000000.0,61978.0,2411128.0,0.6164,1
2015-05-01,ADANIPORTS,EQ,319.35,320.45,327.5,319.35,323.75,323.8,324.37,2099786.0,68100000000000.0,34920.0,773016.0,0.3681,0
2015-05-02,ADANIPORTS,EQ,321.25,322.0,322.7,308.45,310.0,312.2,316.68,2167857.0,68700000000000.0,35854.0,829867.0,0.3828,1
2015-05-03,ADANIPORTS,EQ,332.0,332.8,335.4,327.2,332.55,333.05,331.59,1770268.0,58700000000000.0,35081.0,643786.0,0.3637,1
2015-05-05,ADANIPORTS,EQ,347.2,349.6,351.7,337.95,341.5,342.7,345.03,4219216.0,146000000000000.0,69978.0,1801098.0,0.4269,0
2015-05-06,ADANIPORTS,EQ,311.2,311.0,315.65,308.7,311.9,311.3,312.72,2533852.0,79200000000000.0,35295.0,941089.0,0.3714,1
2015-05-08,ADANIPORTS,EQ,339.15,342.0,344.0,337.55,339.2,339.85,341.09,2486133.0,84800000000000.0,31849.0,1450307.0,0.5834,0
2015-05-10,ADANIPORTS,EQ,305.05,310.0,319.65,309.05,318.2,317.85,314.76,5465126.0,172000000000000.0,85585.0,3587693.0,0.6565,0
2015-05-11,ADANIPORTS,EQ,289.45,289.2,292.95,283.0,283.8,284.1,288.35,2305175.0,66500000000000.0,43778.0,1066325.0,0.4626,1
2015-06-01,ADANIPORTS,EQ,323.8,321.65,331.45,315.6,321.7,321.85,323.73,3672197.0,119000000000000.0,44136.0,978986.0,0.2666,0
2015-06-02,ADANIPORTS,EQ,312.2,311.1,313.95,298.6,299.1,300.2,305.84,3265593.0,99900000000000.0,50322.0,1658372.0,0.5078,1
2015-06-04,ADANIPORTS,EQ,310.95,313.75,323.85,311.45,322.25,321.25,317.72,2039045.0,64800000000000.0,33035.0,1056801.0,0.5183,1
2015-06-05,ADANIPORTS,EQ,342.7,340.35,344.25,329.05,330.5,331.2,334.58,2247751.0,75200000000000.0,41180.0,759137.0,0.3377,0
2015-06-07,ADANIPORTS,EQ,320.8,316.95,321.1,316.25,320.5,320.1,319.08,2853145.0,91000000000000.0,32435.0,1773993.0,0.6218,1
2015-06-08,ADANIPORTS,EQ,339.85,341.0,348.4,335.3,347.0,346.75,342.56,2426994.0,83100000000000.0,27178.0,1337571.0,0.5511,0
2015-06-10,ADANIPORTS,EQ,317.85,319.85,320.95,313.0,315.75,315.8,316.79,3585046.0,114000000000000.0,55957.0,2005276.0,0.5593,0
