Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
29-01-2015,ADANIPORTS,EQ,339.25,340.65,348.4,337.65,343.2,344.15,343.61,4034959,1.39E+14,77982,1905695,0.4723
30-01-2015,ADANIPORTS,EQ,344.15,346.4,352,323.5,339,341.05,342.31,4373172,1.50E+14,69132,1124543,0.2571
02-02-2015,ADANIPORTS,EQ,341.05,339.5,343.9,333,333.9,335.9,337.53,1735161,5.86E+13,30467,451557,0.2602
03-02-2015,ADANIPORTS,EQ,335.9,336.3,336.95,326.05,328,327.8,330.29,1537152,5.08E+13,49659,563214,0.3664
04-02-2015,ADANIPORTS,EQ,327.8,329.45,333,319.25,321.4,321.25,326.59,2792395,9.12E+13,34847,1031201,0.3693
05-02-2015,ADANIPORTS,EQ,321.25,322,322.7,308.45,310,312.2,316.68,2167857,6.87E+13,35854,829867,0.3828
06-02-2015,ADANIPORTS,EQ,312.2,311.1,313.95,298.6,299.1,300.2,305.84,3265593,9.99E+13,50322,1658372,0.5078
09-02-2015,ADANIPORTS,EQ,300.2,296.7,307.9,292.5,300,300.15,301.14,3103409,9.35E+13,47485,1292341,0.4164
10-02-2015,ADANIPORTS,EQ,300.15,298.1,319.7,298.1,319.5,317.85,312.54,3921257,1.23E+14,72815,1273566,0.3248
11-02-2015,ADANIPORTS,EQ,317.85,319.9,328.9,319,326.75,326.1,324.92,2148555,6.98E+13,32049,602315,0.2803
12-02-2015,ADANIPORTS,EQ,326.1,327.7,338,326.8,337.1,336.6,334.91,3539194,1.19E+14,78875,1891971,0.5346
13-02-2015,ADANIPORTS,EQ,336.6,337.7,344.35,331.55,335.55,335.35,337.83,2180303,7.37E+13,32388,576911,0.2646
16-02-2015,ADANIPORTS,EQ,335.35,335.1,341.7,329.65,331.8,331.25,335.52,2205960,7.40E+13,31079,770508,0.3493
18-02-2015,ADANIPORTS,EQ,331.25,332.3,335.8,330,333.8,333.8,333.29,1227170,4.09E+13,15234,456549,0.372
19-02-2015,ADANIPORTS,EQ,333.8,335.15,341,323.7,333.85,333.85,332.53,2643121,8.79E+13,40343,910698,0.3446
20-02-2015,ADANIPORTS,EQ,333.85,335.05,338.05,326.4,329.4,329,332.33,1302901,4.33E+13,22858,449757,0.3452
23-02-2015,ADANIPORTS,EQ,329,331,332.4,321.2,323,323.4,325.63,1737238,5.66E+13,27903,656901,0.3781
24-02-2015,ADANIPORTS,EQ,323.4,323.75,336.9,319.25,335.5,334.05,328.11,2330482,7.65E+13,38937,522790,0.2243
25-02-2015,ADANIPORTS,EQ,334.05,336,337.45,326.85,328.9,328.2,331.73,1467120,4.87E+13,20019,451245,0.3076
26-02-2015,ADANIPORTS,EQ,328.2,328.1,332.5,322.5,329.45,327.3,327.35,1775811,5.81E+13,26453,517279,0.2913
27-02-2015,ADANIPORTS,EQ,327.3,329.4,349.65,327.8,345.8,346.25,340.61,3025639,1.03E+14,42343,1156749,0.3823
28-02-2015,ADANIPORTS,EQ,346.25,349.9,357.95,326.3,330.9,330.75,346.07,5648235,1.95E+14,72523,1156413,0.2047
02-03-2015,ADANIPORTS,EQ,330.75,334.5,335.6,325.6,331.1,330.35,330,2592113,8.55E+13,46958,804934,0.3105
03-03-2015,ADANIPORTS,EQ,330.35,332.5,339.05,332,336,336.55,336,2016305,6.77E+13,33294,746491,0.3702
04-03-2015,ADANIPORTS,EQ,336.55,339.9,343.3,330.1,331,332,337.57,1846535,6.23E+13,39442,517546,0.2803
05-03-2015,ADANIPORTS,EQ,332,332.8,335.4,327.2,332.55,333.05,331.59,1770268,5.87E+13,35081,643786,0.3637
09-03-2015,ADANIPORTS,EQ,333.05,331.55,335.9,323.5,323.6,325,328.79,1825760,6.00E+13,49628,919969,0.5039
10-03-2015,ADANIPORTS,EQ,325,325.05,327.9,314.7,318.6,317.55,321.98,1215285,3.91E+13,19946,389268,0.3203
11-03-2015,ADANIPORTS,EQ,317.55,318.9,318.9,302.2,307.05,307.8,307.87,4828130,1.49E+14,41867,1624636,0.3365
12-03-2015,ADANIPORTS,EQ,307.8,306.55,312,304,310.75,310.25,309.75,3431277,1.06E+14,23606,1397326,0.4072
13-03-2015,ADANIPORTS,EQ,310.25,312.9,316.3,305,306.7,306.25,312.06,4356123,1.36E+14,40583,1978244,0.4541
16-03-2015,ADANIPORTS,EQ,306.25,306.7,314.75,303.05,314,313.3,310.18,1629195,5.05E+13,27676,506479,0.3109
17-03-2015,ADANIPORTS,EQ,313.3,315.3,320.85,310.3,319.35,319.55,316.95,5158959,1.64E+14,40768,3735232,0.724
18-03-2015,ADANIPORTS,EQ,319.55,320.05,320.95,312.9,314.3,316.65,318.3,3069180,9.77E+13,30063,1194241,0.3891
19-03-2015,ADANIPORTS,EQ,316.65,316.15,322.65,310.5,311.9,312.9,318.25,1470026,4.68E+13,20533,587576,0.3997
20-03-2015,ADANIPORTS,EQ,312.9,312.9,316.7,306.5,308,308.15,312.24,2049167,6.40E+13,47376,917119,0.4476
