Date,Symbol,Series,Prev_Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable_Volume,%Deliverble,Will_Grow,SMA_5,SMA_10,SMA_20,Return_1D,Volatility_10,High_Low_Ratio,Open_Close_Ratio,Volume_SMA_10,Volume_Ratio,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,RSI_14
2011-06-28,HDFCBANK,EQ,2416.15,2429.4,2430.0,2404.55,2424.65,2423.05,2419.64,609681,147520624235000.0,22837.0,420954.0,0.6904000000000001,1,2375.76,2356.8450000000003,2363.8525,0.0028557829604949347,0.012536393014001874,1.0105841009752343,1.0026206640391242,631161.4,0.9659668667950859,2416.15,1025619.0,2383.15,828773.0,2333.75,413379.0,38.826012315203265
2011-06-29,HDFCBANK,EQ,2423.05,2435.0,2499.0,2435.0,2495.0,2489.1,2467.29,1025244,252957447280000.03,43742.0,689010.0,0.672,1,2409.04,2368.475,2368.3975,0.027259033036874936,0.014653380083973462,1.0262833675564682,0.9782652364308385,663296.4,1.545680030827847,2423.05,609681.0,2416.15,1025619.0,2383.15,828773.0,49.50133711089115
2011-06-30,HDFCBANK,EQ,2489.1,2499.0,2524.95,2476.15,2503.5,2515.55,2506.02,1342060,336323085830000.0,38767.0,856403.0,0.6381,0,2445.4,2385.73,2376.16,0.010626330802298023,0.01336263439597317,1.0197080144579285,0.9934209218659934,755375.9,1.7766783398834938,2489.1,1025244.0,2423.05,609681.0,2416.15,1025619.0,53.03576477913255
2011-07-01,HDFCBANK,EQ,2515.55,2540.0,2547.6,2478.0,2501.35,2501.25,2497.6,665242,166151066565000.0,40875.0,422812.0,0.6356,1,2469.02,2400.925,2383.3849999999998,-0.005684641529685397,0.013927925539058972,1.0280871670702179,1.0154922538730635,750832.7,0.8860056308149605,2515.55,1342060.0,2489.1,1025244.0,2423.05,609681.0,50.95914770922821
2011-07-04,HDFCBANK,EQ,2501.25,2535.0,2542.0,2512.4,2536.0,2532.2,2528.72,716168,181098643915000.0,43799.0,477573.0,0.6668000000000001,1,2492.2300000000005,2424.245,2390.9325,0.012373813093453201,0.009976358102967226,1.0117815634453111,1.0011057578390332,744321.0,0.9621762653478808,2501.25,665242.0,2515.55,1342060.0,2489.1,1025244.0,55.06048307343715
2011-07-05,HDFCBANK,EQ,2532.2,2522.0,2552.0,2514.5,2542.0,2541.15,2530.96,531864,134612439105000.0,29486.0,345861.0,0.6503,1,2515.85,2445.805,2399.165,0.0035344759497670797,0.01013665594685967,1.014913501690197,0.9924640418708065,746718.8,0.7122681255648042,2532.2,716168.0,2501.25,665242.0,2515.55,1342060.0,56.20119658206628
2011-07-06,HDFCBANK,EQ,2541.15,2535.0,2560.0,2515.0,2543.1,2545.3,2546.47,589287,150060128745000.0,35136.0,345831.0,0.5869,1,2527.09,2468.065,2408.6675,0.0016331188635068106,0.009854147346901685,1.0178926441351888,0.995953325737634,774731.7,0.7606336490426299,2541.15,531864.0,2532.2,716168.0,2501.25,665242.0,56.74941038006212
2011-07-07,HDFCBANK,EQ,2545.3,2546.1,2574.95,2534.15,2563.0,2565.8,2562.26,738902,189325749665000.0,37884.0,467736.0,0.633,0,2537.1400000000003,2491.27,2418.8175,0.008054060425097154,0.00974213952658707,1.0161000730027818,0.9923220827811987,807284.0,0.9152937504025844,2545.3,589287.0,2541.15,531864.0,2532.2,716168.0,59.44947784010136
2011-07-08,HDFCBANK,EQ,2565.8,2566.0,2583.3,2553.7,2561.8,2559.15,2570.7,754468,193951061940000.0,65398.0,530894.0,0.7037000000000001,0,2548.7200000000003,2508.8700000000003,2428.6525,-0.002591784238833883,0.009492561142397665,1.0115910247875632,1.002676669988082,799853.5,0.9432577340725521,2565.8,738902.0,2545.3,589287.0,2541.15,531864.0,58.18061877718249
2011-07-11,HDFCBANK,EQ,2559.15,2559.0,2564.1,2515.1,2523.0,2524.35,2536.21,397250,100750941670000.0,15627.0,232672.0,0.5857,0,2547.1500000000005,2519.69,2436.2400000000002,-0.013598265048942126,0.01117301838179682,1.0194823267464515,1.0137263057816863,737016.6,0.5389973577257283,2559.15,754468.0,2565.8,738902.0,2545.3,589287.0,51.9338151810727
2011-07-12,HDFCBANK,EQ,2524.35,2510.0,2510.0,2460.2,2473.3,2479.75,2481.53,736090,182663299490000.0,31673.0,390591.0,0.5306000000000001,1,2534.87,2525.36,2441.1025,-0.01766791451264682,0.013198944257825,1.0202422567270955,1.0121988103639479,749657.5,0.9819017351257074,2524.35,397250.0,2559.15,754468.0,2565.8,738902.0,45.23101668322007
2011-07-13,HDFCBANK,EQ,2479.75,2490.0,2528.95,2478.05,2526.0,2519.7,2510.65,372091,93418924635000.0,23857.0,176063.0,0.4732,0,2529.75,2528.42,2448.4474999999998,0.016110495009577397,0.011182071908354302,1.0205403442222714,0.9882128824860104,684342.2,0.543720670740457,2479.75,736090.0,2524.35,397250.0,2559.15,754468.0,51.29485216353275
2011-07-14,HDFCBANK,EQ,2519.7,505.1,513.3,498.8,505.0,505.95,505.75,2338586,118273986165000.02,37301.0,739341.0,0.3161,1,2117.7799999999997,2327.46,2356.5950000000003,-0.799202285986427,0.2530318328573399,1.0290697674418603,0.9983199920940805,783994.8,2.9829100907301935,2519.7,372091.0,2479.75,736090.0,2524.35,397250.0,7.317213440021675
2011-07-15,HDFCBANK,EQ,505.95,506.45,510.45,503.0,510.25,508.95,507.59,1372538,69668458729999.99,28939.0,600264.0,0.4372999999999999,1,1707.7399999999998,2128.23,2264.5775000000003,0.005929439667951453,0.2534356603284347,1.0148111332007952,0.9950879261224089,854724.4,1.6058252227267642,505.95,2338586.0,2519.7,372091.0,2479.75,736090.0,7.444522887497413
2011-07-18,HDFCBANK,EQ,508.95,511.95,518.9,508.0,514.85,515.05,515.03,1552474,79957118430000.0,28767.0,609203.0,0.3924,0,1305.8799999999999,1926.5149999999999,2175.38,0.0119854602613223,0.2534202100744631,1.0214566929133857,0.9939811668770023,938355.0,1.6544633960494695,508.95,1372538.0,505.95,2338586.0,2519.7,372091.0,7.722080159472739
2011-07-19,HDFCBANK,EQ,515.05,517.5,519.0,508.35,511.0,510.85,513.22,4263166,218795678760000.0,58872.0,1820021.0,0.4269,0,912.1,1723.4850000000001,2084.645,-0.008154548102125903,0.25302601728231217,1.0209501327825317,1.0130175198199078,1311485.2,3.250639808973826,515.05,1552474.0,508.95,1372538.0,505.95,2338586.0,7.704947518655331
2011-07-20,HDFCBANK,EQ,510.85,516.4,516.4,502.0,502.55,503.1,508.61,1852161,94202235975000.0,35861.0,854298.0,0.4612,0,508.78000000000003,1519.2649999999999,1993.6650000000002,-0.015170793775080793,0.25248069365469206,1.0286852589641433,1.026436096203538,1437772.6,1.2882155356139071,510.85,4263166.0,515.05,1552474.0,508.95,1372538.0,7.671126534072144
2011-07-21,HDFCBANK,EQ,503.1,504.8,504.9,494.5,496.45,496.3,497.93,3220256,160347774645000.0,48337.0,2144267.0,0.6659,1,506.85,1312.315,1901.7925000000002,-0.013516199562711217,0.2517222541592114,1.02103134479272,1.0171267378601652,1685908.0,1.9101018560917915,503.1,1852161.0,510.85,4263166.0,515.05,1552474.0,7.639440345748184
